Time,Mic,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA
s,Run LEQ,g RMS,g RMS,g RMS,g RMS, g RMS,g Peak,g Peak,g Peak,g Peak, g Peak,mm/s RMS,mm/s RMS,mm/s RMS,mm/s RMS, mm/s RMS,mm/s Peak,mm/s Peak,mm/s Peak,mm/s Peak, mm/s Peak
3675747649,106.524,0.521,0.084,1.015,0.827,0.08,2.024,0.178,3.855,3.161,0.171,9.184,8.13,11.828,5.918,7.455,16.427,18.079,20.349,13.898,17.593
3675747650,106.19,0.546,0.083,0.946,0.804,0.082,2.037,0.184,4.338,3.425,0.17,9.151,8.546,11.837,5.905,6.967,16.467,20.294,21.186,13.699,16.463
3675747651,106.168,0.568,0.085,1.024,0.809,0.081,2.104,0.183,4.842,3.41,0.169,9.132,7.449,11.774,5.965,7.192,16.7,17.796,21.074,13.81,17.124
3675747652,106.892,0.969,0.082,1.086,0.908,0.082,5.077,0.173,4.606,3.833,0.173,8.938,8.03,11.838,6.037,8.578,17.753,21.839,22.109,14.33,22.562
3675747653,106.301,0.62,0.084,1.029,0.832,0.08,2.407,0.175,4.56,3.847,0.172,8.639,7.588,12.204,6.078,7.209,16.728,17.507,21.309,14.145,19.617
3675747654,106.527,0.923,0.082,1.064,0.907,0.082,4.85,0.228,4.583,4.114,0.171,8.783,8.427,12.054,6.024,7.851,18.654,21.84,21.781,14.779,20.47
3675747655,106.752,0.706,0.084,1.055,0.854,0.081,3.149,0.176,5.064,3.87,0.171,8.669,7.572,12.049,6.206,7.577,18.318,18.013,21.797,15.536,20.708
3675747656,106.041,0.561,0.082,1.023,0.804,0.081,2.249,0.182,3.98,3.167,0.167,8.472,7.755,11.926,5.913,7.489,15.464,18.437,21.352,13.48,19.555
3675747657,106.181,0.554,0.084,0.97,0.816,0.081,2.308,0.178,4.181,3.48,0.173,8.926,7.771,11.516,5.766,7.647,16.609,19.982,21,12.731,17.948
3675747658,106.466,0.523,0.082,0.955,0.796,0.082,1.874,0.174,3.644,3.258,0.169,9.401,7.368,11.646,5.82,7.673,17.431,18.177,20.81,12.415,18.204
3675747659,106.511,0.514,0.084,1.007,0.797,0.081,1.96,0.174,4.275,2.97,0.173,9.153,7.277,11.911,6.017,7.04,16.567,18.586,20.56,14.891,17.421
3675747660,106.379,0.529,0.082,0.98,0.783,0.082,1.921,0.183,4.529,3.277,0.172,9.359,8.065,11.664,5.856,7.949,17.537,20.091,21.063,13.434,21.059
3675747661,106.687,0.518,0.083,0.962,0.803,0.081,1.908,0.182,3.784,3.17,0.192,9.403,7.623,11.786,5.999,7.852,17.248,17.203,20.863,14.329,18.269
3675747662,106.459,0.522,0.081,0.959,0.805,0.082,1.86,0.174,3.864,3.574,0.179,9.354,7.759,11.795,6.011,7.761,16.634,17.88,20.728,14.164,19.049
3675747663,106.267,0.517,0.083,0.915,0.775,0.081,2.079,0.174,4.009,3.395,0.173,9.39,7.205,11.815,5.923,7.601,16.228,18.743,20.764,12.529,17.542
3675747664,106.456,0.518,0.083,0.962,0.819,0.082,1.767,0.191,3.514,3.126,0.183,9.298,8.397,11.712,5.925,8.308,17.101,18.817,20.987,13.65,19.946
3675747665,106.38,0.573,0.083,0.95,0.771,0.081,2.417,0.181,3.562,3.145,0.182,9.181,7.598,11.731,6.086,7.558,16.822,18.789,20.352,15.218,16.583
3675747666,107.058,0.942,0.084,1.033,0.905,0.081,5.539,0.174,3.901,4.567,0.167,9.024,8.294,11.94,6.058,7.411,20.167,19.88,21.73,14.905,18.627
3675747667,107.239,0.716,0.083,0.986,0.845,0.081,3.794,0.188,4.751,3.342,0.174,9.081,8.173,12.294,6.186,6.818,19.758,21.807,21.551,13.309,14.672
3675747668,106.445,0.654,0.083,1.001,0.822,0.082,3.87,0.231,4.219,4.438,0.172,8.574,8.4,12.134,5.996,7.766,15.549,20.078,20.35,13.381,19.98
3675747669,106.294,0.648,0.083,1.014,0.82,0.08,2.949,0.197,4.073,3.519,0.174,8.537,7.498,11.976,5.907,7.091,16.063,18.687,20.641,13.606,18.552
3675747670,106.329,0.714,0.083,1.026,0.865,0.081,4.384,0.174,4.438,3.429,0.179,8.534,8.3,11.939,6.165,7.909,17.495,19.843,21.563,14.905,18.355
3675747671,106.422,0.534,0.084,1.059,0.851,0.08,2.091,0.178,4.34,3.257,0.171,8.485,7.825,11.985,6.015,6.905,16.046,21.271,20.905,13.582,17.695
3675747672,106.862,0.518,0.083,0.972,0.783,0.083,2.013,0.179,3.669,3.187,0.176,9.144,7.712,11.468,5.756,8.443,16.378,19.378,19.816,14.261,19.188
3675747673,106.837,0.524,0.083,0.949,0.794,0.08,1.945,0.176,3.962,3.617,0.172,9.302,7.679,11.561,5.871,7.092,17.305,19.766,20.291,13.847,19.826
3675747674,106.359,0.52,0.082,0.963,0.797,0.082,2.024,0.174,4.01,3.264,0.172,8.96,7.407,11.852,5.934,8.756,16.184,18.432,20.711,12.874,19.589
3675747675,106.457,0.521,0.083,0.983,0.787,0.081,2.173,0.174,4.07,3.576,0.17,9.21,8.242,11.665,5.793,7.226,16.48,20.574,20.389,12.194,17.644
3675747676,106.695,0.514,0.083,0.966,0.813,0.081,2.095,0.176,3.92,3.433,0.172,9.107,8.16,11.822,5.92,7.79,16.661,18.656,20.525,13.582,18.153
3675747677,106.451,0.51,0.083,0.981,0.767,0.082,1.965,0.181,3.83,3.059,0.191,9.251,7.109,11.789,5.883,7.388,16.986,18.822,20.816,13.211,19.317
3675747678,106.729,0.517,0.083,0.976,0.811,0.081,1.851,0.176,3.792,3.091,0.183,9.27,8.069,11.727,5.839,8.226,16.742,19.682,20.351,12.7,19.965
3675747679,106.827,0.521,0.084,0.997,0.783,0.082,2.082,0.178,4.489,3.405,0.176,9.234,7.752,11.8,5.945,7.818,16.222,19.193,20.861,12.64,19.6
